V	1002	ATI Technologies Inc
X	20161462	AMD Radeon (TM) R9 370 Series
X	2016148C	AMD Radeon(TM) R9 370 Series
X	20161682	AMD Radeon (TM) R9 370 Series
X	20161787	AMD Radeon (TM) R9 370 Series
X	9370148C	AMD Radeon(TM) R9 370 Series
X	9370148C	AMD Radeon R9 370 1024SP
X	93701682	AMD Radeon (TM) R9 370 Series
X	93701787	AMD Radeon (TM) R9 370 Series
D	6818	AMD Radeon HD 7800 Series
X	0B051002	AMD Radeon HD 8870
X	9370148C	AMD Radeon(TM) R9 370 Series
D	6819	AMD Radeon HD 7800 Series
